"GHO (CODE),GHO (DISPLAY),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),Numeric,Value,Low,High"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2006,2006,2006,AFR,Africa,KEN,Kenya,52,52,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,2016,2016,2016,AFR,Africa,KEN,Kenya,81,81,,"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2014,2014,2014,AFR,Africa,KEN,Kenya,36,36,,"
"TB_1,Tuberculosis treatment coverage,2011,2011,2011,AFR,Africa,KEN,Kenya,45,45 [23-130],23,130"
"TB_1,Tuberculosis treatment coverage,2009,2009,2009,AFR,Africa,KEN,Kenya,45,45 [21-150],21,150"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2015,2015,2015,AFR,Africa,KEN,Kenya,95,95,,"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2015,2015,2015,AFR,Africa,KEN,Kenya,368,368,,"
"TB_hivtest_pct,TB patients with known HIV status (%),2022,2022,2022,AFR,Africa,KEN,Kenya,97,97,,"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2008,2008,2008,AFR,Africa,KEN,Kenya,0,0,,"
"TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2014,2014,2014,AFR,Africa,KEN,Kenya,72,72,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,2013,2013,2013,AFR,Africa,KEN,Kenya,86,86,,"
"TB_c_newinc,Tuberculosis - new and relapse cases,2007,2007,2007,AFR,Africa,KEN,Kenya,106438,106438,,"
"TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2011,2011,2011,AFR,Africa,KEN,Kenya,70,70,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2018,2018,2018,AFR,Africa,KEN,Kenya,40000,40 000 [23 000-60 000],23000,60000"
"TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2021,2021,2021,AFR,Africa,KEN,Kenya,82,82,,"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2008,2008,2008,AFR,Africa,KEN,Kenya,102,102,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2012,2012,2012,AFR,Africa,KEN,Kenya,78,78,,"
"TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2009,2009,2009,AFR,Africa,KEN,Kenya,69,69,,"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2007,2007,2007,AFR,Africa,KEN,Kenya,42,42,,"
"TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,2018,2018,2018,AFR,Africa,KEN,Kenya,100,100,,"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2008,2008,2008,AFR,Africa,KEN,Kenya,564,564 [169-1190],169,1190"
"TB_c_new_tsr,Treatment success rate: new TB cases,2007,2007,2007,AFR,Africa,KEN,Kenya,83,83,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,2019,2019,2019,AFR,Africa,KEN,Kenya,86,86,,"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2009,2009,2009,AFR,Africa,KEN,Kenya,566,566 [169-1200],169,1200"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2023,2023,2023,AFR,Africa,KEN,Kenya,73,73,,"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2023,2023,2023,AFR,Africa,KEN,Kenya,98,98,,"
"TB_1,Tuberculosis treatment coverage,2022,2022,2022,AFR,Africa,KEN,Kenya,67,67 [45-110],45,110"
"TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,2020,2020,2020,AFR,Africa,KEN,Kenya,67,67,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2021,2021,2021,AFR,Africa,KEN,Kenya,33000,33 000 [20 000-50 000],20000,50000"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2005,2005,2005,AFR,Africa,KEN,Kenya,630,630 [156-1420],156,1420"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2021,2021,2021,AFR,Africa,KEN,Kenya,63,63,,"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2009,2009,2009,AFR,Africa,KEN,Kenya,18,18,,"
"TB_hivtest_pct,TB patients with known HIV status (%),2021,2021,2021,AFR,Africa,KEN,Kenya,97,97,,"
"TB_1,Tuberculosis treatment coverage,2012,2012,2012,AFR,Africa,KEN,Kenya,45,45 [24-120],24,120"
"TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2007,2007,2007,AFR,Africa,KEN,Kenya,69,69,,"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2006,2006,2006,AFR,Africa,KEN,Kenya,0,0,,"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2010,2010,2010,AFR,Africa,KEN,Kenya,218,218 [71-445],71,445"
"TB_1,Tuberculosis treatment coverage,2016,2016,2016,AFR,Africa,KEN,Kenya,46,46 [28-89],28,89"
"TB_c_new_tsr,Treatment success rate: new TB cases,2015,2015,2015,AFR,Africa,KEN,Kenya,87,87,,"
"TB_e_inc_rr_num,Estimated number of MDR/RR-TB incident cases,2021,2021,2021,AFR,Africa,KEN,Kenya,1400,1400 [720-2100],720,2100"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2017,2017,2017,AFR,Africa,KEN,Kenya,52,52,,"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2006,2006,2006,AFR,Africa,KEN,Kenya,10,10,,"
"TB_e_inc_rr_num,Estimated number of MDR/RR-TB incident cases,2016,2016,2016,AFR,Africa,KEN,Kenya,2100,2100 [770-3400],770,3400"
"TB_c_new_tsr,Treatment success rate: new TB cases,2005,2005,2005,AFR,Africa,KEN,Kenya,81,81,,"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2008,2008,2008,AFR,Africa,KEN,Kenya,45,45,,"
"TB_e_inc_num,Number of incident tuberculosis cases,2011,2011,2011,AFR,Africa,KEN,Kenya,217000,217 000 [76 000-429 000],76000,429000"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2019,2019,2019,AFR,Africa,KEN,Kenya,70,70 [43-103],43,103"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2015,2015,2015,AFR,Africa,KEN,Kenya,126,126 [60-216],60,216"
"TB_c_newinc,Tuberculosis - new and relapse cases,2008,2008,2008,AFR,Africa,KEN,Kenya,99941,99941,,"
"TB_hivtest_pct,TB patients with known HIV status (%),2023,2023,2023,AFR,Africa,KEN,Kenya,98,98,,"
"TB_hivtest_pct,TB patients with known HIV status (%),2005,2005,2005,AFR,Africa,KEN,Kenya,14,14,,"
"TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,2015,2015,2015,AFR,Africa,KEN,Kenya,100,100,,"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2011,2011,2011,AFR,Africa,KEN,Kenya,39,39,,"
"TB_1,Tuberculosis treatment coverage,2000,2000,2000,AFR,Africa,KEN,Kenya,46,46 [25-120],25,120"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2018,2018,2018,AFR,Africa,KEN,Kenya,79,79,,"
